Sample in Buffer,Sample in Window,TRIGGER,reg_valid_bytes_ad[15:5],U_reg_aes/reg_crypt_noncein_reg[127]_1[127:0],U_reg_aes/reg_crypt_textin_buffer_msg[127:0],control[4:0],write_data[7:0],reg_valid_bytes_msg[15:5]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,00,ff,000
1,1,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,00,ff,000
2,2,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,00,ff,000
3,3,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,00,ff,000
4,4,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,00,ff,000
5,5,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,00,ff,000
6,6,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,00,ff,000
7,7,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,00,ff,000
8,8,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,00,ff,000
9,9,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,00,ff,000
10,10,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,00,ff,000
11,11,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,00,ff,000
12,12,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,00,ff,000
13,13,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,00,ff,000
14,14,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,00,ff,000
15,15,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,00,ff,000
16,16,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,00,ff,000
17,17,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,00,ff,000
18,18,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,00,ff,000
19,19,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,00,ff,000
20,20,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,00,ff,000
21,21,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,00,ff,000
22,22,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,00,ff,000
23,23,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,00,ff,000
24,24,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,00,ff,000
25,25,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,00,ff,000
26,26,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,00,ff,000
27,27,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,00,ff,000
