Sample in Buffer,Sample in Window,TRIGGER,mealy_fsm/current_state[4:0],crypt_noncein[127:0],crypt_key[127:0],U_reg_aes/reg_crypt_tagout[127:0],tag2[63:0],crypt_start,extra_padding_ff,ready_tag,u_ascon_top/last_cycle,u_ascon_top/sel_padding,u_ascon_top/sel_xor_signal
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
1,1,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
2,2,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
3,3,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
4,4,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
5,5,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
6,6,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
7,7,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
8,8,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
9,9,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
10,10,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
11,11,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
12,12,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
13,13,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
14,14,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
15,15,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
16,16,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
17,17,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
18,18,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
19,19,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
20,20,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
21,21,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
22,22,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
23,23,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
24,24,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
25,25,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
26,26,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
27,27,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
28,28,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
29,29,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
30,30,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
31,31,0,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
32,32,1,"IDLE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,1,0,0,0,0,0
33,33,0,"INIT_LOAD",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7b8959675be5b01e,0,0,0,0,0,0
34,34,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,99149611931e9c1b,0,0,0,0,0,0
35,35,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,afdd54534e37686f,0,0,0,0,0,0
