Sample in Buffer,Sample in Window,TRIGGER,U_reg_aes/reg_crypt_textin_buffer_msg[127:0],crypt_stateout[319:0],crypt_noncein[127:0],U_reg_aes/reg_crypt_textin_buffer_msg_crypt[127:0],u_ascon_top/mealy_fsm/current_state[4:0],crypt_key[127:0],u_ascon_top/ciphertext_valid,u_ascon_top/crypt_start
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,7856341211ccbbaa3412cdab003002f1,00000000000000000000000000000000000000000000000000000000000000000000000000000000,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"IDLE",0f0e0d0c0b0a09080706050403020100,0,0
1,1,0,7856341211ccbbaa3412cdab003002f1,00000000000000000000000000000000000000000000000000000000000000000000000000000000,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"IDLE",0f0e0d0c0b0a09080706050403020100,0,0
2,2,0,7856341211ccbbaa3412cdab003002f1,00000000000000000000000000000000000000000000000000000000000000000000000000000000,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"IDLE",0f0e0d0c0b0a09080706050403020100,0,0
3,3,0,7856341211ccbbaa3412cdab003002f1,00000000000000000000000000000000000000000000000000000000000000000000000000000000,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"IDLE",0f0e0d0c0b0a09080706050403020100,0,0
4,4,0,7856341211ccbbaa3412cdab003002f1,00000000000000000000000000000000000000000000000000000000000000000000000000000000,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"IDLE",0f0e0d0c0b0a09080706050403020100,0,0
5,5,0,7856341211ccbbaa3412cdab003002f1,00000000000000000000000000000000000000000000000000000000000000000000000000000000,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"IDLE",0f0e0d0c0b0a09080706050403020100,0,0
6,6,0,7856341211ccbbaa3412cdab003002f1,00000000000000000000000000000000000000000000000000000000000000000000000000000000,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"IDLE",0f0e0d0c0b0a09080706050403020100,0,0
7,7,0,7856341211ccbbaa3412cdab003002f1,00000000000000000000000000000000000000000000000000000000000000000000000000000000,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"IDLE",0f0e0d0c0b0a09080706050403020100,0,0
8,8,0,7856341211ccbbaa3412cdab003002f1,00000000000000000000000000000000000000000000000000000000000000000000000000000000,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"IDLE",0f0e0d0c0b0a09080706050403020100,0,0
